idcell,midLat,midLon
00_00,-12.035450450450451,-77.05614954954956
00_01,-12.035450450450451,-77.05524864864866
00_02,-12.035450450450451,-77.05434774774776
00_03,-12.035450450450451,-77.05344684684685
00_04,-12.035450450450451,-77.05254594594595
00_05,-12.035450450450451,-77.05164504504505
00_06,-12.035450450450451,-77.05074414414415
00_07,-12.035450450450451,-77.04984324324326
00_08,-12.035450450450451,-77.04894234234236
00_09,-12.035450450450451,-77.04804144144146
00_10,-12.035450450450451,-77.04714054054055
00_11,-12.035450450450451,-77.04623963963965
00_12,-12.035450450450451,-77.04533873873875
00_13,-12.035450450450451,-77.04443783783785
00_14,-12.035450450450451,-77.04353693693695
00_15,-12.035450450450451,-77.04263603603604
00_16,-12.035450450450451,-77.04173513513514
00_17,-12.035450450450451,-77.04083423423424
00_18,-12.035450450450451,-77.03993333333334
00_19,-12.035450450450451,-77.03903243243244
00_20,-12.035450450450451,-77.03813153153155
00_21,-12.035450450450451,-77.03723063063065
00_22,-12.035450450450451,-77.03632972972974
00_23,-12.035450450450451,-77.03542882882884
00_24,-12.035450450450451,-77.03452792792794
00_25,-12.035450450450451,-77.03362702702704
00_26,-12.035450450450451,-77.03272612612614
00_27,-12.035450450450451,-77.03182522522523
00_28,-12.035450450450451,-77.03092432432433
01_00,-12.036351351351351,-77.05614954954956
01_01,-12.036351351351351,-77.05524864864866
01_02,-12.036351351351351,-77.05434774774776
01_03,-12.036351351351351,-77.05344684684685
01_04,-12.036351351351351,-77.05254594594595
01_05,-12.036351351351351,-77.05164504504505
01_06,-12.036351351351351,-77.05074414414415
01_07,-12.036351351351351,-77.04984324324326
01_08,-12.036351351351351,-77.04894234234236
01_09,-12.036351351351351,-77.04804144144146
01_10,-12.036351351351351,-77.04714054054055
01_11,-12.036351351351351,-77.04623963963965
01_12,-12.036351351351351,-77.04533873873875
01_13,-12.036351351351351,-77.04443783783785
01_14,-12.036351351351351,-77.04353693693695
01_15,-12.036351351351351,-77.04263603603604
01_16,-12.036351351351351,-77.04173513513514
01_17,-12.036351351351351,-77.04083423423424
01_18,-12.036351351351351,-77.03993333333334
01_19,-12.036351351351351,-77.03903243243244
01_20,-12.036351351351351,-77.03813153153155
01_21,-12.036351351351351,-77.03723063063065
01_22,-12.036351351351351,-77.03632972972974
01_23,-12.036351351351351,-77.03542882882884
01_24,-12.036351351351351,-77.03452792792794
01_25,-12.036351351351351,-77.03362702702704
01_26,-12.036351351351351,-77.03272612612614
01_27,-12.036351351351351,-77.03182522522523
01_28,-12.036351351351351,-77.03092432432433
02_00,-12.037252252252253,-77.05614954954956
02_01,-12.037252252252253,-77.05524864864866
02_02,-12.037252252252253,-77.05434774774776
02_03,-12.037252252252253,-77.05344684684685
02_04,-12.037252252252253,-77.05254594594595
02_05,-12.037252252252253,-77.05164504504505
02_06,-12.037252252252253,-77.05074414414415
02_07,-12.037252252252253,-77.04984324324326
02_08,-12.037252252252253,-77.04894234234236
02_09,-12.037252252252253,-77.04804144144146
02_10,-12.037252252252253,-77.04714054054055
02_11,-12.037252252252253,-77.04623963963965
02_12,-12.037252252252253,-77.04533873873875
02_13,-12.037252252252253,-77.04443783783785
02_14,-12.037252252252253,-77.04353693693695
02_15,-12.037252252252253,-77.04263603603604
02_16,-12.037252252252253,-77.04173513513514
02_17,-12.037252252252253,-77.04083423423424
02_18,-12.037252252252253,-77.03993333333334
02_19,-12.037252252252253,-77.03903243243244
02_20,-12.037252252252253,-77.03813153153155
02_21,-12.037252252252253,-77.03723063063065
02_22,-12.037252252252253,-77.03632972972974
02_23,-12.037252252252253,-77.03542882882884
02_24,-12.037252252252253,-77.03452792792794
02_25,-12.037252252252253,-77.03362702702704
02_26,-12.037252252252253,-77.03272612612614
02_27,-12.037252252252253,-77.03182522522523
02_28,-12.037252252252253,-77.03092432432433
03_00,-12.038153153153154,-77.05614954954956
03_01,-12.038153153153154,-77.05524864864866
03_02,-12.038153153153154,-77.05434774774776
03_03,-12.038153153153154,-77.05344684684685
03_04,-12.038153153153154,-77.05254594594595
03_05,-12.038153153153154,-77.05164504504505
03_06,-12.038153153153154,-77.05074414414415
03_07,-12.038153153153154,-77.04984324324326
03_08,-12.038153153153154,-77.04894234234236
03_09,-12.038153153153154,-77.04804144144146
03_10,-12.038153153153154,-77.04714054054055
03_11,-12.038153153153154,-77.04623963963965
03_12,-12.038153153153154,-77.04533873873875
03_13,-12.038153153153154,-77.04443783783785
03_14,-12.038153153153154,-77.04353693693695
03_15,-12.038153153153154,-77.04263603603604
03_16,-12.038153153153154,-77.04173513513514
03_17,-12.038153153153154,-77.04083423423424
03_18,-12.038153153153154,-77.03993333333334
03_19,-12.038153153153154,-77.03903243243244
03_20,-12.038153153153154,-77.03813153153155
03_21,-12.038153153153154,-77.03723063063065
03_22,-12.038153153153154,-77.03632972972974
03_23,-12.038153153153154,-77.03542882882884
