qHawaxID,timestamp,idPollutant,Value
36,"2021-04-19 14:00:00",1,5612.011
36,"2021-04-19 14:00:00",2,23.732
36,"2021-04-19 14:00:00",3,16.942
36,"2021-04-19 14:00:00",4,7.421
36,"2021-04-19 14:00:00",5,73.046
36,"2021-04-19 14:00:00",6,28.268
36,"2021-04-19 14:00:00",7,30.947
36,"2021-04-19 15:00:00",1,4140.712
36,"2021-04-19 15:00:00",2,19.487
36,"2021-04-19 15:00:00",3,4.761
36,"2021-04-19 15:00:00",4,4.741
36,"2021-04-19 15:00:00",5,58.413
36,"2021-04-19 15:00:00",6,25.38
36,"2021-04-19 15:00:00",7,60.446
36,"2021-04-19 17:00:00",1,2992.661
36,"2021-04-19 17:00:00",2,20.09
36,"2021-04-19 17:00:00",3,43.952
36,"2021-04-19 17:00:00",4,28.194
36,"2021-04-19 17:00:00",5,54.302
36,"2021-04-19 17:00:00",6,26.239
36,"2021-04-19 17:00:00",7,75.363
36,"2021-04-19 23:00:00",1,3534.428
36,"2021-04-19 23:00:00",2,24.3
36,"2021-04-19 23:00:00",3,98.359
36,"2021-04-19 23:00:00",4,30.325
36,"2021-04-19 23:00:00",5,63.833
36,"2021-04-19 23:00:00",6,21.088
36,"2021-04-19 23:00:00",7,56.467
36,"2021-04-20 03:00:00",1,835.415
36,"2021-04-20 03:00:00",2,16.948
36,"2021-04-20 03:00:00",3,70.237
36,"2021-04-20 03:00:00",4,46.781
36,"2021-04-20 03:00:00",5,84.015
36,"2021-04-20 03:00:00",6,22.539
36,"2021-04-20 03:00:00",7,58.496
36,"2021-04-20 19:00:00",1,468.576
36,"2021-04-20 19:00:00",2,14.691
36,"2021-04-20 19:00:00",3,45.206
36,"2021-04-20 19:00:00",4,41.582
36,"2021-04-20 19:00:00",5,35.481
36,"2021-04-20 19:00:00",6,9.736
36,"2021-04-20 19:00:00",7,81.551
36,"2021-04-25 22:00:00",1,81.519
36,"2021-04-25 22:00:00",2,13.439
36,"2021-04-25 22:00:00",3,64.468
36,"2021-04-25 22:00:00",4,50.34
36,"2021-04-25 22:00:00",5,27.081
36,"2021-04-25 22:00:00",6,9.051
36,"2021-04-25 22:00:00",7,88.243
37,"2021-04-19 14:00:00",1,3987.051
37,"2021-04-19 14:00:00",2,13.802
37,"2021-04-19 14:00:00",3,48.432
37,"2021-04-19 14:00:00",4,16.809
37,"2021-04-19 14:00:00",5,70.957
37,"2021-04-19 14:00:00",6,28.295
37,"2021-04-19 14:00:00",7,0.738
37,"2021-04-19 15:00:00",1,2757.816
37,"2021-04-19 15:00:00",2,10.619
37,"2021-04-19 15:00:00",3,44.415
37,"2021-04-19 15:00:00",4,20.08
37,"2021-04-19 15:00:00",5,60.321
37,"2021-04-19 15:00:00",6,26.24
37,"2021-04-19 15:00:00",7,1.343
37,"2021-04-19 17:00:00",1,1732.843
37,"2021-04-19 17:00:00",2,9.694
37,"2021-04-19 17:00:00",3,57.568
37,"2021-04-19 17:00:00",4,60.569
